pl_r_uni_detected,pl_contrast_uni_detected,pl_universe_full_detected
2.5052365,0.0004441812570125724,248.0
1.4120435,7.466465059573626e-05,34.0
0.66798406,4.002289330946612e-05,138.0
0.76192256,4.589286529972311e-05,140.0
0.28316453,1.8341351578409808e-06,12.0
1.1485957,9.232611203390365e-06,141.0
1.2588271,6.9259114517996704e-06,201.0
1.0686614,1.1961315645132178e-05,234.0
1.4120435,0.0001313657387655502,34.0
1.9918197,0.00015272107379869497,116.0
1.0686614,4.659576409325115e-05,234.0
1.1249623,0.00032638319461465737,7.0
0.70200592,0.0002756945483218546,7.0
0.71816131,0.0002673929418635413,10.0
0.92128779,0.0003132250476999283,20.0
1.0533116,0.0002023265446781919,24.0
1.3362844,0.000247374477180245,28.0
1.4334573,0.00025260460727987994,34.0
0.15110271,0.00034754913360401896,37.0
1.4148871,0.0003903366616650895,65.0
0.34232179,0.0002398632596620703,66.0
1.9229318,0.0005585225476168151,70.0
1.3596,0.00022218073745875435,75.0
1.2705104,0.0002685887383525309,76.0
0.79488386,0.00047912733742418813,76.0
2.0520446,0.0005255577216322942,78.0
1.2964749,0.00020841920229799568,101.0
2.0550084,0.00040691966628390446,110.0
1.2910799,0.00046218618213715774,110.0
0.95953441,0.00031762774867638175,118.0
1.3566593,0.00023988696437819468,122.0
1.137507,0.0003234358917025278,128.0
0.72318039,0.0003318443411473265,133.0
1.1485957,0.0013023351643043817,141.0
1.5408283,0.0008195904659801208,146.0
0.90234554,0.00040215042743079106,156.0
1.4496563,0.00040368604574100815,156.0
1.3731078,0.0011104286159735262,176.0
1.2588271,0.0009456988818099093,201.0
1.6692403,0.0006900377316159353,205.0
0.93657634,0.00034634339176405944,211.0
1.0686614,0.0015587472861201862,234.0
1.7116885,0.000848292842275365,239.0
1.1618949,0.0002964206284680223,244.0
0.73689494,0.0003773759557788265,244.0
1.0214174,0.00016187348152732974,249.0
3.0686472,5.336115085202818e-05,12.0
